\database\database_achieveInfo.msbt
AchieveName_001	{r[ひゃくせんれんま]}百戦錬磨{/r}
MovieName_9D	・スシゲートへの{r[とうぼう]}逃亡{/r}
MovieInfo_9D	ムサシに{r[かんぱい]}完敗{/r}した{r[こうてい]}皇帝{/r}…ムサシは{r[こうてい]}皇帝{/r}にスシを\nふるまい、スシを{r[わ]}分{/r}かち{r[あ]}合{/r}う{r[せかい]}世界{/r}を{r[とも]}共{/r}に{r[つく]}作{/r}ろう\nと{r[ねが]}願{/r}う。しかし{r[こうてい]}皇帝{/r}はそれを{r[きょぜつ]}拒絶{/r}。ゴウライに\n{r[しゅつげん]}出現{/r}させた{c[dc0000]}スシゲート{c[000000]}の{r[なか]}中{/r}へと{r[き]}消{/r}えていった…
MovieName_EP	スシガミの{r[ひみつ]}秘密{/r}
MovieInfo_EP	{r[こうてい]}皇帝{/r}を{r[たお]}倒{/r}し、{r[せかい]}世界{/r}のスシを{r[かいほう]}解放{/r}したムサシへ、\nジンライはスシガミの{r[ひみつ]}秘密{/r}を{r[かた]}語{/r}る。\nかつてスシは、{r[うみ]}海{/r}を{r[およ]}泳{/r}ぐ「{c[dc0000]}サカナ{c[000000]}」と{r[よ]}呼{/r}ばれる\n{r[い]}生{/r}き{r[もの]}物{/r}から{r[つく]}作{/r}られていたという。しかし…
MovieName_ED	エンディングアニメ
MovieInfo_ED	・エンディング{r[しゅだいか]}主題歌{/r}「{c[dc0000]}レッツくるりんワールド{c[000000]}」\n・{r[うた]}歌{/r}：ムサシ（CV.{r[たかはし]}高橋{/r} {r[りえ]}李依{/r}）\n・{r[さくし〠さっきょく〠へんきょく]}作詞/作曲/編曲：{/r}{r[わたなべ]}渡邉{/r} {r[としひこ]}俊彦{/r}\n{c[dc0000]}※アニメに{r[つづ]}続{/r}いてスタッフロールが{r[なが]}流{/r}れます。{c[000000]}
MovieName_SR	エピローグ
MovieInfo_SR	ムサシとジュウベエは、ムサシの{r[はは]}母{/r}が{r[み]}身{/r}を{r[な]}投{/r}\nげたといわれる、{c[dc0000]}{r[だい]}大{/r}スシゲート{c[000000]}の{r[まえ]}前{/r}で{r[きょう]}今日{/r}も\n{r[かえ]}帰{/r}りを{r[ま]}待{/r}つ。２人はあきらめていない。\nいつか{r[かなら]}必{/r}ず{r[かえ]}帰{/r}ってくる…そう{r[しん]}信{/r}じているのだ。
\database\database_movieSerif_0A.msbt
MovieSerifText_0a_0010_M	そこは魚のいない世界…
MovieSerifText_0a_0001_M	{r[ちじょう]}地上{/r}に{r[そんざい]}存在{/r}するあらゆる{r[しげん]}資源{/r}の{r[なか]}中{/r}で\nもっとも{r[たか]}高{/r}い{r[かち]}価値{/r}をもつもの…
MovieSerifText_0a_0002_M	それが「スシ」とよばれる{r[た]}食{/r}べ{r[もの]}物{/r}である
MovieSerifText_0a_0003_M	スシの{r[おい]}美味{/r}しさを{r[もと]}求{/r}め\n{r[ひとびと]}人々{/r}の{r[あいだ]}間{/r}では\n{r[せいさん]}凄惨{/r}な{r[あらそ]}争{/r}いが{r[た]}絶{/r}えなかった
MovieSerifText_0a_0004_M	そしてついに\n{r[せかいじゅう]}世界中{/r}のスシを{r[どくせん]}独占{/r}しようとした{r[ていこく]}帝国{/r}と
MovieSerifText_0a_0005_M	{r[ひとびと]}人々{/r}にスシを{r[わ]}分{/r}け{r[あた]}与{/r}えることを{r[のぞ]}望{/r}んだ\n{r[きょうわこく]}共和国{/r}の{r[あいだ]}間{/r}で\n{r[おお]}大{/r}きな{r[はげ]}激{/r}しい{r[せんそう]}戦争{/r}が{r[おこ]}行{/r}なわれた
MovieSerifText_0a_0006_M	{r[い]}忌{/r}まわしき「{r[せかい]}世界{/r}スシ{r[たいせん]}大戦{/r}」である
MovieSerifText_0a_0007_M	{r[はいぼく]}敗北{/r}した{r[きょうわこく]}共和国{/r}では　それ{r[いらい]}以来{/r}\nスシについて{r[かた]}語{/r}ることは{r[かた]}固{/r}く{r[きん]}禁{/r}じられ
MovieSerifText_0a_0008_M	{r[だれ]}誰{/r}もスシを{r[た]}食{/r}べることは\nできなくなっていた
MovieSerifText_0a_0009_M	はずだった
\database\database_movieSerif_1A.msbt
MovieSerifText_1a_0001_M	うわぁー！
MovieSerifText_1a_0002_M	すっげぇ　{r[たいりょう]}大量{/r}の{r[き]}木{/r}の{r[み]}実{/r}だ！
MovieSerifText_1a_0002_F	すっごい　{r[たいりょう]}大量{/r}の{r[き]}木{/r}の{r[み]}実{/r}だ！
MovieSerifText_1a_0003_M	うおーーー！
MovieSerifText_1a_0003_F	うわーーー！
MovieSerifText_1a_0004_M	ひょひょひょ～い
MovieSerifText_1a_0004_F	うひょ～
MovieSerifText_1a_0005_M	うひょひょ～
MovieSerifText_1a_0005_F	あは　ひゃははは～
MovieSerifText_1a_0006_M	やったー！\n{r[きょう]}今日{/r}もたくさん{r[と]}採{/r}れたぞー！
MovieSerifText_1a_0006_F	やったー！\n{r[きょう]}今日{/r}もたくさん{r[と]}採{/r}れたわー！
MovieSerifText_1a_0007_M	これでチビたちもきっと{r[よろこ]}喜{/r}ぶぞー！
MovieSerifText_1a_0007_F	これであの{r[こ]}子{/r}たちもきっと{r[よろこ]}喜{/r}ぶわー！
MovieSerifText_1a_0008_M	{r[み]}見{/r}ろよ　ムサシのやつだ
MovieSerifText_1a_0009_M	あっ!?
MovieSerifText_1a_0009_F	あ！
MovieSerifText_1a_0010_M	お{r[まえ]}前{/r}は…　コジロー！
MovieSerifText_1a_0010_F	あんたは…　コジロー！
MovieSerifText_1a_0011_M	{r[きょう]}今日{/r}は{r[き]}木{/r}の{r[み]}実{/r}なんか{r[あつ]}集{/r}めてんのかよ！
MovieSerifText_1a_0012_M	ほんとだ～
MovieSerifText_1a_0013_M	へんなやつ～
MovieSerifText_1a_0014_M	それ{r[た]}食{/r}べんのかよ～
MovieSerifText_1a_0015_M	なんだよ　おまえら　あっち{r[い]}行{/r}け！
MovieSerifText_1a_0015_F	なんなのよ　あんたたち\nあっち{r[い]}行{/r}きなさい！
MovieSerifText_1a_0016_M	へっ
MovieSerifText_1a_0017_M	よこせよ！
MovieSerifText_1a_0018_M	あっ！
MovieSerifText_1a_0019_M	へっ　なんだこれ
MovieSerifText_1a_0097_M	ちょっと{r[た]}食{/r}べてみようぜ
MovieSerifText_1a_0020_M	{r[た]}食{/r}べんのかよ！
MovieSerifText_1a_0020_F	えー{r[た]}食{/r}べるの!?
MovieSerifText_1a_0098_M	ん？
MovieSerifText_1a_0022_M	うわー！　ぺぺぺぺぺっ！
MovieSerifText_1a_0099_M	まじー！　なんだこれ!?
MovieSerifText_1a_0023_M	バカっすね…
MovieSerifText_1a_0024_M	よくこんなものが{r[た]}食{/r}べられるな！
MovieSerifText_1a_0025_M	バカにするな！
MovieSerifText_1a_0025_F	バカにしないで！
MovieSerifText_1a_0026_M	この{r[き]}木{/r}の{r[み]}実{/r}だってオレたちには\n{r[だいじ]}大事{/r}な{r[た]}食{/r}べものなんだ！
MovieSerifText_1a_0026_F	この{r[き]}木{/r}の{r[み]}実{/r}だってわたしたちには\n{r[だいじ]}大事{/r}な{r[た]}食{/r}べものなんだから！
MovieSerifText_1a_0027_M	やれやれ
MovieSerifText_1a_0100_M	こんなものをありがたがるなんて
MovieSerifText_1a_0101_M	お{r[まえ]}前{/r}ら　{r[ほんとう]}本当{/r}に{r[く]}食{/r}いしん{r[ぼう]}坊{/r}だな
MovieSerifText_1a_0028_M	あはははは！
MovieSerifText_1a_0029_M	{r[く]}食{/r}いしん{r[ぼう]}坊{/r}ー♪　{r[く]}食{/r}いしん{r[ぼう]}坊{/r}ー♪
MovieSerifText_1a_0030_M	コジローっ!!
MovieSerifText_1a_0031_M	{r[いま]}今{/r}にみてろよ～！
MovieSerifText_1a_0032_M	うわあぁ～～～ん!!
MovieSerifText_1a_0034_M	とうちゃん…　かあちゃん…
MovieSerifText_1a_0034_F	とうさん…　かあさん…
MovieSerifText_1a_0035_M	どこに{r[い]}行{/r}っちまったんだ…
MovieSerifText_1a_0035_F	どこに{r[い]}行{/r}っちゃったの…
MovieSerifText_1a_0102_M	いつになったら\n{r[かえ]}帰{/r}ってきてくれるんだよ…
MovieSerifText_1a_0102_F	いつになったら\n{r[かえ]}帰{/r}ってきてくれるの…
MovieSerifText_1a_0036_M	{r[な]}鳴{/r}くな！　オレの{r[はら]}腹{/r}の{r[むし]}虫{/r}よ～
MovieSerifText_1a_0036_F	{r[な]}鳴{/r}かないで～　わたしの{r[はら]}腹{/r}の{r[むし]}虫{/r}～
MovieSerifText_1a_0037_M	おーい！\nどうした？　ぼうず
MovieSerifText_1a_0037_F	おーい！\nどうした？　お{r[じょう]}嬢{/r}ちゃん
MovieSerifText_1a_0038_M	え？
MovieSerifText_1a_0039_M	{r[だれ]}誰{/r}だい？　アンタ
MovieSerifText_1a_0039_F	{r[だれ]}誰{/r}よ？　アンタ
MovieSerifText_1a_0040_M	オレはユキチって{r[もの]}者{/r}だ\n{r[せかいじゅう]}世界中{/r}を{r[たび]}旅{/r}するさすらい{r[びと]}人{/r}さ
MovieSerifText_1a_0041_M	{r[なに]}何{/r}があったか{r[し]}知{/r}らねえが\nメソメソしたってはじまらねぇ
MovieSerifText_1a_0042_M	もっとシャキッとしな！
MovieSerifText_1a_0043_M	うるせぇ！\nほっといてくれよ！
MovieSerifText_1a_0043_F	うるさいわね！\nほっといてよ！
MovieSerifText_1a_0044_M	ハッハッハ\nなんだ{r[はら]}腹{/r}が{r[へ]}減{/r}ってたのか？
MovieSerifText_1a_0045_M	{r[はら]}腹{/r}が{r[へ]}減{/r}って{r[なに]}何{/r}がわるいんだ！
MovieSerifText_1a_0045_F	{r[はら]}腹{/r}が{r[へ]}減{/r}って{r[なに]}何{/r}がわるいの！
MovieSerifText_1a_0046_M	なにも{r[わる]}悪{/r}くないさ
MovieSerifText_1a_0047_M	たくさん{r[た]}食{/r}べるのは{r[こども]}子供{/r}の{r[しごと]}仕事{/r}だ
MovieSerifText_1a_0048_M	こ、{r[こども]}子供{/r}あつかいするな！\nオレはガキじゃねぇ！
MovieSerifText_1a_0048_F	こ、{r[こども]}子供{/r}あつかいしないで！\nわたしは{r[こども]}子供{/r}じゃない！
MovieSerifText_1a_0049_M	そうか　そうか
MovieSerifText_1a_0050_M	ガキじゃねえなら…\nオトナのヒミツを{r[まも]}守{/r}れるな？
MovieSerifText_1a_0050_F	{r[こども]}子供{/r}じゃねえなら…\nオトナのヒミツを{r[まも]}守{/r}れるな？
MovieSerifText_1a_0051_M	{r[ひみつ]}秘密{/r}？
MovieSerifText_1a_0052_M	{r[だれ]}誰{/r}にも{r[い]}言{/r}わないって\n{r[やくそく]}約束{/r}してくれるんなら{r[とくべつ]}特別{/r}に…
MovieSerifText_1a_0053_M	スシを{r[く]}食{/r}わせてやってもいいぜ！
MovieSerifText_1a_0054_M	スシ…　だって…
MovieSerifText_1a_0054_F	スシですって…
MovieSerifText_1a_0055_M	スシ…？
MovieSerifText_1a_0056_M	{r[なまえ]}名前{/r}くらい{r[き]}聞{/r}いたことあるな？\nこの{r[よ]}世{/r}で{r[いちばん]}一番{/r}おいしい{r[た]}食{/r}べ{r[もの]}物{/r}だ
MovieSerifText_1a_0057_M	しかし　この{r[きょうわこく]}共和国{/r}の{r[りょうない]}領内{/r}じゃ…
MovieSerifText_1a_0103_M	{r[た]}食{/r}べることはもちろん\n{r[み]}見{/r}ることも{r[きん]}禁{/r}じられている
MovieSerifText_1a_0058_M	それを{r[く]}食{/r}わせてやろうってんだ\nどうだ？　うまいぞ
MovieSerifText_1a_0059_M	スシなんて！
MovieSerifText_1a_0060_M	スシなんて{r[だい]}大{/r}キライだっ!!
MovieSerifText_1a_0060_F	スシなんて{r[だい]}大{/r}キライっ!!
MovieSerifText_1a_0061_M	とうちゃんもかあちゃんも{r[せんそう]}戦争{/r}のせいで\nどこかに{r[い]}行{/r}っちまったんだ！
MovieSerifText_1a_0061_F	とうさんもかあさんも{r[せんそう]}戦争{/r}のせいで\nどこかに{r[い]}行{/r}っちゃったのよ！
MovieSerifText_1a_0062_M	{r[せんそう]}戦争{/r}が{r[お]}起{/r}こったのは\nそのスシってやつのせいなんだろ？
MovieSerifText_1a_0062_F	{r[せんそう]}戦争{/r}が{r[お]}起{/r}こったのは\nそのスシってやつのせいなんでしょ？
MovieSerifText_1a_0063_M	スシなんて{r[だい]}大{/r}キライだっ!!
MovieSerifText_1a_0063_F	スシなんて{r[だい]}大{/r}キライよっ!!
MovieSerifText_1a_0064_M	この{r[よ]}世{/r}から\nなくなっちまえばいいんだ！
MovieSerifText_1a_0064_F	この{r[よ]}世{/r}から\nなくなっちゃえばいいのよ！
MovieSerifText_1a_0065_M	あ…
MovieSerifText_1a_0066_M	ちきしょう！
MovieSerifText_1a_0066_F	もぉう！
MovieSerifText_1a_0067_M	たしかにスシのせいで\n{r[おとな]}大人{/r}たちは{r[せんそう]}戦争{/r}を{r[はじ]}始{/r}めちまった
MovieSerifText_1a_0105_M	だがわかってくれ
MovieSerifText_1a_0068_M	スシにはなんの{r[つみ]}罪{/r}もねえんだ
MovieSerifText_1a_0069_M	スシはただの{r[く]}食{/r}い{r[もの]}物{/r}じゃねぇ
MovieSerifText_1a_0106_M	みんなを{r[えがお]}笑顔{/r}にする{r[すてき]}素敵{/r}なものだ
MovieSerifText_1a_0070_M	ぼうず…\nいっぺん{r[た]}食{/r}べてみてくれないか？
MovieSerifText_1a_0070_F	お{r[じょう]}嬢{/r}ちゃん…\nいっぺん{r[た]}食{/r}べてみてくれないか？
MovieSerifText_1a_0110_M	にゃ～ん！
MovieSerifText_1a_0071_M	うわあ～～～
MovieSerifText_1a_0072_M	タヌキ？
MovieSerifText_1a_0073_M	タヌキちゃうわー！
MovieSerifText_1a_0074_M	{r[われ]}我{/r}はスシガミ“アラオウ”\nスシを{r[つかさど]}司{/r}るスシガミの{r[ひとり]}一人{/r}なり！
MovieSerifText_1a_0075_M	スシタヌキ？
MovieSerifText_1a_0076_M	スシタヌキちゃうわ！\nスシガミ！
MovieSerifText_1a_0077_M	スシガヌキ？
MovieSerifText_1a_0078_M	スシガミつってんの!!
MovieSerifText_1a_0079_M	なぁ　ユキチ　あいつアホ？
MovieSerifText_1a_0080_M	たのんだぜ！
MovieSerifText_1a_0081_M	あぁ　じゃまぁ　やるケドさ
MovieSerifText_1a_0082_M	にゃあーーー！
MovieSerifText_1a_0083_M	なんだこりゃ!?\n{r[なに]}何{/r}もないところから{r[で]}出{/r}て{r[き]}来{/r}た！
MovieSerifText_1a_0083_F	なによこれ!?\n{r[なに]}何{/r}もないところから{r[で]}出{/r}て{r[き]}来{/r}た！
MovieSerifText_1a_0084_M	それがスシだ！\nさ　{r[た]}食{/r}べてみな！
MovieSerifText_1a_0086_M	ん？
MovieSerifText_1a_0087_M	んー？
MovieSerifText_1a_0088_M	はあ～～～
MovieSerifText_1a_0089_M	おいしい～～～！
MovieSerifText_1a_0090_M	これがスシ？
MovieSerifText_1a_0091_M	これがスシ!?
MovieSerifText_1a_0092_M	これが…　これがスシ!!
MovieSerifText_1a_0093_M	なんておいしいんだぁー!!
MovieSerifText_1a_0093_F	なんておいしいのぉー!!
MovieSerifText_1a_0094_M	あは…　あははは…
MovieSerifText_1a_0095_M	ハッハッハッ\n{r[こんど]}今度{/r}はうれし{r[な]}泣{/r}きか？
MovieSerifText_1a_0096_M	さあ！　{r[えんりょ]}遠慮{/r}せずどんどん{r[た]}食{/r}べなっ！
\database\database_movieSerif_1B.msbt
MovieSerifText_1b_0001_M	ユキチ…　さん…
MovieSerifText_1b_0002_M	まったく…\nオレ{r[さま]}様{/r}に{r[はむ]}歯向{/r}かうとはいい{r[どきょう]}度胸{/r}だ
MovieSerifText_1b_0003_M	おいっ！\nこいつも{r[つ]}連{/r}れて{r[い]}行{/r}け!!
MovieSerifText_1b_0004_M	やめろ！\n{r[みのが]}見逃{/r}してやってくれ！
MovieSerifText_1b_0005_M	{r[おれ]}俺{/r}はこんなガキ{r[し]}知{/r}らねえ！\nそいつはただ{r[ま]}巻{/r}きこまれちまっただけだ！
MovieSerifText_1b_0006_M	ふん！
MovieSerifText_1b_0007_M	おまえの{r[みがら]}身柄{/r}と\nスシガミさえ{r[て]}手{/r}に{r[はい]}入{/r}ったのなら\nこれで{r[お]}終{/r}わりよぉ
MovieSerifText_1b_0008_M	とっとと{r[ていこくりょうない]}帝国領内{/r}に{r[ひ]}引{/r}きあげるぞ
MovieSerifText_1b_0009_M	{r[かくご]}覚悟{/r}しておけよユキチ！
MovieSerifText_1b_0010_M	きびし～{r[さば]}裁{/r}きが{r[ま]}待{/r}っているだろう
MovieSerifText_1b_0011_M	…ハッ！
MovieSerifText_1b_0012_M	ユキチさんっ！
MovieSerifText_1b_0013_M	そんな！\n{r[ていこくぐん]}帝国軍{/r}にさらわれちまったのか？
MovieSerifText_1b_0013_F	そんな！\n{r[ていこくぐん]}帝国軍{/r}にさらわれちゃったの？
MovieSerifText_1b_0014_M	なんとかして{r[たす]}助{/r}けないと！
MovieSerifText_1b_0015_M	でも…　{r[いったい]}一体{/r}どうしたら…
MovieSerifText_1b_0016_M	それに…
MovieSerifText_1b_0017_M	コレはなんなんだ？
MovieSerifText_1b_0017_F	コレはなんなの？
MovieSerifText_1b_0018_M	ユキチさんはどうしてオレにコレを？
MovieSerifText_1b_0018_F	ユキチさんはどうして{r[わたし]}私{/r}にコレを？
MovieSerifText_1b_0019_M	だめだ…\n{r[かんが]}考{/r}えれば{r[かんが]}考{/r}えるほど{r[はら]}腹{/r}が{r[へ]}減{/r}っちまう…
MovieSerifText_1b_0019_F	だめだ…\n{r[かんが]}考{/r}えれば{r[かんが]}考{/r}えるほどお{r[なか]}腹{/r}が{r[へ]}減{/r}っちゃう…
MovieSerifText_1b_0020_M	ほっほっほっ
MovieSerifText_1b_0021_M	その{r[おお]}大{/r}きな{r[はら]}腹{/r}の{r[おと]}音{/r}…\nよほどの{r[く]}食{/r}いしん{r[ぼう]}坊{/r}とみた…
MovieSerifText_1b_0022_M	あ…？
MovieSerifText_1b_0022_F	ん…？
MovieSerifText_1b_0023_M	{r[だれ]}誰{/r}だっ!?
MovieSerifText_1b_0023_F	だ　{r[だれ]}誰{/r}っ!?
MovieSerifText_1b_0024_M	おぬし…　{r[ちから]}力{/r}が{r[ほ]}欲{/r}しいか？
MovieSerifText_1b_0025_M	{r[ちから]}力{/r}…　だって？
MovieSerifText_1b_0025_F	{r[ちから]}力{/r}…　ですって？
MovieSerifText_1b_0026_M	うん！　{r[ほ]}欲{/r}しいっ！
MovieSerifText_1b_0027_M	{r[ちから]}力{/r}が{r[ほ]}欲{/r}しいーーーっ!!
MovieSerifText_1b_0028_M	ならばワシの{r[こえ]}声{/r}のする{r[ほう]}方{/r}に{r[こ]}来{/r}い
MovieSerifText_1b_0029_M	ワシが{r[まつ]}祀{/r}られておる\n{r[ほこら]}祠{/r}まで{r[く]}来{/r}るのじゃ
MovieSerifText_1b_0030_M	お…　おお…
MovieSerifText_1b_0031_M	どっちっすかー？
MovieSerifText_1b_0031_F	どっちですかー？
MovieSerifText_1b_0032_M	こっちじゃ～
MovieSerifText_1b_0033_M	おーっ！
MovieSerifText_1b_0034_M	おおー！　これはー！
MovieSerifText_1b_0034_F	おおー！　これは！
MovieSerifText_1b_0035_M	ボロッ…
MovieSerifText_1b_0036_M	えっ？
MovieSerifText_1b_0037_M	こ…　これは？　スシ？
MovieSerifText_1b_0038_M	それなるスシこそサーモン！
MovieSerifText_1b_0039_M	さあ　{r[く]}食{/r}いしん{r[ぼう]}坊{/r}の{r[ほこ]}誇{/r}りにかけて\nこれをペロリとたいらげてみよっ！
MovieSerifText_1b_0077_M	うん！
MovieSerifText_1b_0040_M	さあ！　{r[た]}食{/r}べるのじゃ！
MovieSerifText_1b_0041_M	あーん
MovieSerifText_1b_0042_M	ん！
MovieSerifText_1b_0043_M	お…
MovieSerifText_1b_0044_M	おおお…
MovieSerifText_1b_0045_M	おおおお～
MovieSerifText_1b_0046_M	おいしい～～～っ!!!
MovieSerifText_1b_0047_M	えっ？
MovieSerifText_1b_0048_M	{r[みごと]}見事{/r}な{r[た]}食{/r}べっぷり！
MovieSerifText_1b_0049_M	そしてその{r[えがお]}笑顔{/r}！\nスシに{r[かんしゃ]}感謝{/r}するお{r[ぬし]}主{/r}の{r[こころ]}心{/r}!!
MovieSerifText_1b_0050_M	そのおかげで{r[みずか]}自{/r}らの{r[ちから]}力{/r}を\n{r[と]}取{/r}りもどすことができた
MovieSerifText_1b_0051_M	うわ～～～…
MovieSerifText_1b_0052_M	これは…
MovieSerifText_1b_0053_M	{r[ねこ]}猫{/r}？
MovieSerifText_1b_0053_F	{r[ねこ]}猫{/r}！
MovieSerifText_1b_0054_M	う…
MovieSerifText_1b_0055_M	{r[ねこ]}猫{/r}ではない！
MovieSerifText_1b_0080_M	ワシの{r[な]}名{/r}はジンライ
MovieSerifText_1b_0056_M	{r[ていこくぐん]}帝国軍{/r}の{r[て]}手{/r}を{r[のが]}逃{/r}れ\nこの{r[ほこら]}祠{/r}に{r[み]}身{/r}を{r[ひそ]}潜{/r}めておったスシガミじゃ
MovieSerifText_1b_0057_M	あ…！
MovieSerifText_1b_0058_M	こ…　これは？
MovieSerifText_1b_0059_M	それこそ“{r[けいやくざら]}契約皿{/r}”\n{r[われ]}我{/r}らスシガミとの{r[けいやく]}契約{/r}の{r[あかし]}証{/r}
MovieSerifText_1b_0060_M	{r[さき]}先{/r}ほど{r[た]}食{/r}べたスシにより\nお{r[ぬし]}主{/r}はワシと{r[けいやく]}契約{/r}した
MovieSerifText_1b_0061_M	これでお{r[ぬし]}主{/r}は\nスシライカーとなったのじゃ！
MovieSerifText_1b_0062_M	オレが？　スシライカーに？
MovieSerifText_1b_0062_F	{r[わたし]}私{/r}が？　スシライカーに？
MovieSerifText_1b_0063_M	お{r[ぬし]}主{/r}の{r[き]}着{/r}ておるそのスカジャン
MovieSerifText_1b_0064_M	それにはワシらスシガミの{r[たましい]}魂{/r}を\n{r[ふう]}封{/r}じておくことができるのじゃ
MovieSerifText_1b_0065_M	とうちゃんのスカジャンに\nそんな{r[つか]}使{/r}い{r[かた]}方{/r}があったなんて！
MovieSerifText_1b_0065_F	とうさんのスカジャンに\nそんな{r[つか]}使{/r}い{r[かた]}方{/r}があったなんて！
MovieSerifText_1b_0066_M	なんじゃ{r[し]}知{/r}らずに{r[き]}着{/r}ていたのか…
MovieSerifText_1b_0068_M	お{r[ねが]}願{/r}いだジンライ！\nその{r[ちから]}力{/r}を{r[か]}貸{/r}してくれ！
MovieSerifText_1b_0068_F	お{r[ねが]}願{/r}い　ジンライ！\nその{r[ちから]}力{/r}を{r[か]}貸{/r}してちょうだい！
MovieSerifText_1b_0069_M	オレにスシの{r[すば]}素晴{/r}らしさを{r[おし]}教{/r}えてくれた\nユキチさんを{r[すく]}救{/r}いたいんだ！
MovieSerifText_1b_0069_F	{r[わたし]}私{/r}にスシの{r[すば]}素晴{/r}らしさを{r[おし]}教{/r}えてくれた\nユキチさんを{r[すく]}救{/r}いたい！
MovieSerifText_1b_0070_M	そして…
MovieSerifText_1b_0071_M	{r[せかいじゅう]}世界中{/r}の{r[ひと]}人{/r}にスシを\n{r[た]}食{/r}べさせてあげたいんだ!!
MovieSerifText_1b_0071_F	{r[せかいじゅう]}世界中{/r}の{r[ひと]}人{/r}にスシを\n{r[た]}食{/r}べさせてあげたいの!!
MovieSerifText_1b_0072_M	{r[せかいじゅう]}世界中{/r}の{r[もの]}者{/r}にスシをとな！
MovieSerifText_1b_0073_M	なんと{r[すてき]}素敵{/r}な{r[ゆめ]}夢{/r}じゃ！
MovieSerifText_1b_0074_M	{r[よろこ]}喜{/r}んで{r[ちから]}力{/r}を{r[か]}貸{/r}そう！
MovieSerifText_1b_0075_M	ユキチとやらを{r[たす]}助{/r}けに{r[い]}行{/r}くぞ！
MovieSerifText_1b_0076_M	オオーーーッ！
\database\database_movieSerif_2A.msbt
MovieSerifText_2a_0001_M	ジンライが{r[はっけん]}発見{/r}されたこと
MovieSerifText_2a_0018_M	また　それが{r[きょうわこくない]}共和国内{/r}の\n{r[かいほうせんせん]}解放戦線{/r}に{r[わた]}渡{/r}ったこと
MovieSerifText_2a_0002_M	それらの{r[じょうほう]}情報{/r}はまたたく{r[ま]}間{/r}に\n{r[ていこくほんぶ]}帝国本部{/r}に{r[し]}知{/r}らされた
MovieSerifText_2a_0003_M	{r[こうてい]}皇帝{/r}グラードは\nジンライを{r[と]}捕{/r}らえるため
MovieSerifText_2a_0004_M	{r[げんすい]}元帥{/r}グロムを{r[つう]}通{/r}じて\n{r[ぜん]}全{/r}スシライカーに{r[そうこうげき]}総攻撃{/r}の{r[めい]}命{/r}を{r[くだ]}下{/r}す
MovieSerifText_2a_0005_M	これにより{r[じじつじょう]}事実上{/r}\n{r[だいにじせかい]}第二次世界{/r}スシ{r[たいせん]}大戦{/r}がぼっ{r[ぱつ]}発{/r}した
MovieSerifText_2a_0006_M	{r[しったい]}失態{/r}だったなアブリコス…
MovieSerifText_2a_0007_M	ジンライを{r[と]}捕{/r}らえ{r[そこ]}損{/r}ねるとは…
MovieSerifText_2a_0008_M	も…　{r[もう]}申{/r}し{r[わけ]}訳{/r}ございません！
MovieSerifText_2a_0009_M	{r[かなら]}必{/r}ずや{r[わたし]}私{/r}が{r[と]}捕{/r}らえて{r[まい]}参{/r}ります！
MovieSerifText_2a_0010_M	ときに…\nそのジンライが{r[けいやく]}契約{/r}した\nというのは{r[なにもの]}何者{/r}だ？
MovieSerifText_2a_0011_M	それが…
MovieSerifText_2a_0012_M	まだ…　ガキのようでして…
MovieSerifText_2a_0012_F	まだ…　{r[こども]}子供{/r}のようでして…
MovieSerifText_2a_0013_M	ん…　ガキだと？
MovieSerifText_2a_0013_F	ん…　{r[こども]}子供{/r}だと？
MovieSerifText_2a_0014_M	はっ　{r[なまえ]}名前{/r}を…
MovieSerifText_2a_0015_M	ムサシ…　とか…
MovieSerifText_2a_0016_M	ほお…
MovieSerifText_2a_0017_M	ムサシ…
\database\database_movieSerif_2B.msbt
MovieSerifText_2b_0001_M	ほんまおおきに!!
MovieSerifText_2b_0002_M	ムサシはんたちのお{r[かげ]}陰{/r}で{r[まえ]}前{/r}みたいな{r[もり]}森{/r}に\nもどることができましたわ～
MovieSerifText_2b_0004_M	へへっ
MovieSerifText_2b_0004_F	えへへっ
MovieSerifText_2b_0005_M	そこでもう{r[ひと]}一{/r}つお{r[ねが]}願{/r}いがありますねん
MovieSerifText_2b_0006_M	ぜひここに”{r[かいてんずし]}回転寿司{/r}”を\nオープンさせて{r[ほ]}欲{/r}しいんですわ～！
MovieSerifText_2b_0009_M	{r[かいてんずし]}回転寿司{/r}？
MovieSerifText_2b_0010_M	{r[ていこく]}帝国{/r}のえげつないスシ{r[しはい]}支配{/r}
MovieSerifText_2b_0011_M	その{r[ぎせいしゃ]}犠牲者{/r}をこれ{r[いじょう]}以上{/r}{r[ふ]}増{/r}やしたらアカン！
MovieSerifText_2b_0012_M	そのために{r[おな]}同{/r}じ{r[こころざし]}志{/r}をもったモンが{r[あつ]}集{/r}まる\n{r[いこ]}憩{/r}いの{r[ば]}場{/r}ですわ
MovieSerifText_2b_0014_M	{r[かいてんずし]}回転寿司{/r}とは\nどういったものなのでしょう？
MovieSerifText_2b_0017_M	あー
MovieSerifText_2b_0018_M	{r[かいてん]}回転{/r}してまんねん\nスシがくるくると{r[まわ]}回{/r}るんですわ
MovieSerifText_2b_0020_M	スシが…
MovieSerifText_2b_0021_M	くるくると…
MovieSerifText_2b_0022_M	{r[まわ]}回{/r}る…？
MovieSerifText_2b_0023_M	まったく{r[そうぞう]}想像{/r}がつかぬのう…
