\database\database_area.msbt
areaName_area01	{r[きょうわこく]}共和国{/r}
GodInfo_God136	タンポポの{r[すがた]}姿{/r}をとったスシガミ。\n{r[はな]}花{/r}びらからは、お{r[ひさま]}日様{/r}のにおいがする。
GodInfo_God137	{r[はる]}春{/r}が{r[す]}過{/r}ぎると、{r[はな]}花{/r}びらが{r[わたげ]}綿毛{/r}に{r[へんか]}変化{/r}して\nファンキーな{r[すがた]}姿{/r}になるらしい…。
GodInfo_God139	{r[ようせい]}妖精{/r}の{r[すがた]}姿{/r}をとったスシガミ。\nいたずら{r[ず]}好{/r}きなところがチャーミング。
GodInfo_God140	ドルカンのゼンマイを{r[はんたい]}反対{/r}に{r[まわ]}回{/r}したり、\nバクゾーの{r[まくら]}枕{/r}を{r[かく]}隠{/r}して{r[あそ]}遊{/r}んでいる。
GodInfo_God142	ワニの{r[すがた]}姿{/r}をとったスシガミ。\n{r[おお]}大{/r}きな{r[くち]}口{/r}で{r[いき]}息{/r}を{r[す]}吸{/r}うと{r[しゅうい]}周囲{/r}に{r[しんくう]}真空{/r}ができる。
GodInfo_God145	カラスの{r[すがた]}姿{/r}をとったスシガミ。\n{r[わるぢえ]}悪知恵{/r}は{r[はたら]}働{/r}くが、{r[こうどう]}行動{/r}に{r[うつ]}移{/r}す{r[ゆうき]}勇気{/r}はない…。
GodInfo_God146	{r[ゆうぐ]}夕暮{/r}れが{r[ちかづ]}近付{/r}くと、{r[も]}燃{/r}えるような{r[あつ]}熱{/r}い\nラブソングを{r[うた]}歌{/r}いたくなってしまう。
GodInfo_God148	{r[めいかい]}冥界{/r}の{r[かみ]}神{/r}の{r[すがた]}姿{/r}をとったスシガミ。\n{r[ほうたい]}包帯{/r}を{r[ま]}巻{/r}かせれば、{r[みぎ]}右{/r}に{r[で]}出{/r}る{r[もの]}者{/r}はいない。
GodInfo_GodC001	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？まぐろが{r[だいす]}大好{/r}き\nで{r[あかみ]}赤身{/r}のごとく{r[も]}燃{/r}える{r[じょうねつ]}情熱{/r}を{r[ひ]}秘{/r}めるという。
GodInfo_GodC002	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？てんこ{r[も]}盛{/r}りの\nいくらを、いつも{r[だ]}抱{/r}きしめ{r[つづ]}続{/r}けている。
GodInfo_GodC003	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？うにが{r[だいす]}大好{/r}き。\nうにを{r[だ]}抱{/r}いてほえる{r[すがた]}姿{/r}は{r[おうじゃ]}王者{/r}の{r[ふうかく]}風格{/r}をもつ。
GodInfo_GodC004	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[とくぎ]}特技{/r}はバランの\n{r[しげ]}茂{/r}みからのジャンピングアタック。
GodInfo_GodC005	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？えびが{r[だいす]}大好{/r}き。\nプリプリでカワイイ{r[ところ]}所{/r}がお{r[き]}気{/r}に{r[い]}入{/r}りらしい。
GodInfo_GodC006	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？そのたまごは、\nもしや…？と{r[みなき]}皆気{/r}にしているが、{r[しんそう]}真相{/r}は…？
GodInfo_GodC007	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[くま]}熊{/r}の{r[せんぱい]}先輩{/r}である\n「{r[さけ]}鮭{/r}をくわえた{r[きぼ]}木彫{/r}りの{r[くま]}熊{/r}」に{r[あこが]}憧{/r}れている。
GodInfo_GodC008	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[き]}気{/r}に{r[い]}入{/r}らない{r[こと]}事{/r}が\nあるとネギを{r[しゅりけん]}手裏剣{/r}のように{r[な]}投{/r}げてくるらしい
GodInfo_GodC009	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[ばつぐん]}抜群{/r}のバランス\n{r[かんかく]}感覚{/r}で、つぶつぶコーンを{r[きよう]}器用{/r}に{r[だ]}抱{/r}く。
GodInfo_GodC010	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[おな]}同{/r}じカワイイ{r[けい]}系{/r}\nのえびウサギをライバル{r[し]}視{/r}しているという。
GodInfo_GodC011	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？{r[ひなた]}日向{/r}ぼっこ{r[ず]}好{/r}き\nだが、ネタが{r[かわ]}乾{/r}いてしまうのが{r[なや]}悩{/r}みらしい。
GodInfo_GodC012	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？あじが{r[だいす]}大好{/r}き。\n{r[しゅみ]}趣味{/r}はびちゃびちゃな{r[て]}手{/r}での{r[あくしゅ]}握手{/r}。
GodInfo_GodC013	スシロー{r[じまとくゆう]}島特有{/r}のスシガミ？ポテトはスシロ\nーのお{r[きゃくさま]}客様{/r}から{r[いっぽん]}１本{/r}ずつ{r[はいしゃく]}拝借{/r}した{r[もの]}物{/r}らしい。
\database\database_itemInfo.msbt
ItemInfo_Burner	スシガミに{r[つか]}使{/r}うと、{r[だ]}出{/r}せるスシの{r[なか]}中{/r}の\nひとつがあぶられてグレードアップする。\n{r[いちぶ]}一部{/r}のスシにのみ{r[ゆうこう]}有効{/r}。
ItemInfo_OhudaExpS	スシガミに{r[つか]}使{/r}うと、ちょっと{r[けいけんち]}経験値{/r}が\n{r[ふ]}増{/r}えるおふだ。どこかのスシガミの\n{r[にが]}苦{/r}い{r[けいけん]}経験{/r}が{r[ふう]}封{/r}じこめられている。
ItemInfo_OhudaExpM	スシガミに{r[つか]}使{/r}うと、わりと{r[けいけんち]}経験値{/r}が\n{r[ふ]}増{/r}えるおふだ。いろんなスシガミの\nあまずっぱい{r[けいけん]}経験{/r}が{r[ふう]}封{/r}じこめられている。
ItemInfo_OhudaExpL	スシガミに{r[つか]}使{/r}うと、すごく{r[けいけんち]}経験値{/r}が\n{r[ふ]}増{/r}えるおふだ。{r[おお]}多{/r}くのスシガミが{r[え]}得{/r}た\n{r[きょうくん]}教訓{/r}がまとめて{r[ふう]}封{/r}じこめられている。
ItemInfo_OhudaDefS	スシガミに{r[つか]}使{/r}うと、まもりのチカラが\nちょっと{r[ふ]}増{/r}えるおふだ。バルサ{r[ざい]}材{/r}が\n{r[つか]}使{/r}われており、やわらかい。
ItemInfo_OhudaDefM	スシガミに{r[つか]}使{/r}うと、まもりのチカラが\nわりと{r[ふ]}増{/r}えるおふだ。{r[すぎいた]}杉板{/r}が{r[つか]}使{/r}われて\nおり、{r[かお]}香{/r}りがよい。
ItemInfo_OhudaDefL	スシガミに{r[つか]}使{/r}うと、まもりのチカラが\nすごく{r[ふ]}増{/r}えるおふだ。メープル{r[ざい]}材{/r}が\n{r[つか]}使{/r}われており、{r[ひじょう]}非常{/r}にかたい。
ItemInfo_OhudaSkill	スシガミに{r[つか]}使{/r}うと、スキルレベルの\nメーターが{r[ふ]}増{/r}えるおふだ。{r[おお]}大{/r}スシガミ{r[さま]}様{/r}の\nパワーが{r[ふう]}封{/r}じこめられている。
ItemInfo_OhudaSkillC	スシガミに{r[つか]}使{/r}うと、スキルレベルの\nメーターがすごく{r[ふ]}増{/r}えるおふだ。\n{r[おお]}大{/r}スシガミ{r[さま]}様{/r}の{r[ちょう]}超{/r}パワーがあふれている。
ItemInfo_PlayerHpS	ムサシに{r[つか]}使{/r}うと、たいりょくが{r[すこ]}少{/r}し\n{r[あ]}上{/r}がるかんづめ。スタミナ{r[げん]}源{/r}となる\nカラい{r[まめ]}豆{/r}がつめこまれている。
ItemInfo_PlayerAtkS	ムサシに{r[つか]}使{/r}うと、うでっぷしが{r[すこ]}少{/r}し\n{r[あ]}上{/r}がるかんづめ。チカラがわいてくる\n{r[やさい]}野菜{/r}がつめこまれている。
ItemInfo_GearHero	スシを{r[ふか]}深{/r}く{r[あい]}愛{/r}する{r[もの]}者{/r}のみが{r[つか]}使{/r}える\nというレーンドライブギアの{r[なか]}中{/r}でも\nもっとも{r[つか]}使{/r}いやすい{r[ひょうじゅんてき]}標準的{/r}なギア。
ItemInfo_GearSuper	{r[ひょうじゅんてき]}標準的{/r}なスシライカーズギアの\n{r[きょうかばん]}強化版{/r}となるレーンドライブギア。\n{r[この]}好{/r}んで{r[つか]}使{/r}うスシライカーも{r[おお]}多{/r}い。
ItemInfo_GearHyper	スーパーギアよりもさらに{r[きょうりょく]}強力{/r}な\nレーンドライブギア。{r[つか]}使{/r}いこなすには\n{r[こうど]}高度{/r}なテクニックを{r[よう]}要{/r}する。
ItemInfo_GearUltimate	{r[きゅうきょく]}究極{/r}のレーンドライブギア。{r[ていこく]}帝国{/r}の\n{r[じっけん]}実験{/r}による{r[まもう]}摩耗{/r}で{r[しゅつりょく]}出力{/r}は{r[お]}落{/r}ちたが、\n{r[げんぞん]}現存{/r}のギアの{r[なか]}中{/r}ではもっとも{r[きょうりょく]}強力{/r}。
ItemInfo_GearStream	{r[かそく]}加速{/r}はゆっくりだが、{r[げんそく]}減速{/r}があまり\nなく、{r[かわ]}川{/r}のように{r[た]}絶{/r}え{r[ま]}間{/r}なく{r[なが]}流{/r}れ\n{r[つづ]}続{/r}けるのが{r[とくちょう]}特徴{/r}のレーンドライブギア。
ItemInfo_GearQuick	すばやい{r[かそく]}加速{/r}と、すばやい{r[げんそく]}減速{/r}が\n{r[とくちょう]}特徴{/r}で、ピンポイントでの{r[かつよう]}活用{/r}が\nできるレーンドライブギア。
ItemInfo_GearLittle	{r[ひょうじゅんてき]}標準的{/r}なスシライカーズギアよりも\nやや{r[しゅつりょく]}出力{/r}が{r[ひく]}低{/r}いレーンドライブギア。\nこちらを{r[つか]}使{/r}うスシライカーも{r[おお]}多{/r}い。
ItemInfo_ReadyRetryS	「じゅんびアイテム」として{r[も]}持{/r}って\nおくと、HPが０になった{r[とき]}時{/r}に{r[つか]}使{/r}われ、\nHPが{r[すこ]}少{/r}し{r[ふ]}増{/r}えて{r[ふっかつ]}復活{/r}できる。
ItemInfo_ReadyRetryM	「じゅんびアイテム」として{r[も]}持{/r}って\nおくと、HPが０になった{r[とき]}時{/r}に{r[つか]}使{/r}われ、\nHPが{r[はんぶん]}半分{/r}{r[ふ]}増{/r}えて{r[ふっかつ]}復活{/r}できる。
ItemInfo_ReadyRetryL	「じゅんびアイテム」として{r[も]}持{/r}って\nおくと、HPが０になった{r[とき]}時{/r}に{r[つか]}使{/r}われ、\nHPが{r[かんぜんかいふく]}完全回復{/r}して{r[ふっかつ]}復活{/r}できる。
ItemInfo_ReadyRetryC	「じゅんびアイテム」として{r[も]}持{/r}って\nおくと、HPが０になった{r[とき]}時{/r}に{r[つか]}使{/r}われ、\n{r[かんぜんかいふく]}完全回復{/r}＆{r[こうげきりょく]}攻撃力{/r}２{r[ばい]}倍{/r}で{r[ふっかつ]}復活{/r}できる。
ItemInfo_ScenarioSukajan	{r[おさな]}幼{/r}いころ、{r[ちち]}父{/r}からもらったもの。\nスシガミの{r[たましい]}魂{/r}を{r[ふう]}封{/r}じておくことができ、\nソデには{r[けいやくざら]}契約皿{/r}を{r[そうちゃく]}装着{/r}できる。
ItemInfo_ScenarioDictionary	{r[ここんとうざい]}古今東西{/r}のスシガミやスシの{r[じょうほう]}情報{/r}が\nまとめられた{r[ふる]}古{/r}い{r[しょもつ]}書物{/r}。{r[けいやく]}契約{/r}のたびに\n{r[ないよう]}内容{/r}が{r[か]}書{/r}き{r[た]}足{/r}されていく。
ItemInfo_ScenarioHelp	スシバトルの{r[おうぎ]}奥義{/r}がつめこまれた\nスシライカー{r[ひっけい]}必携{/r}の{r[しょ]}書{/r}。バトルで\n{r[たっせい]}達成{/r}した{r[いぎょう]}偉業{/r}も{r[きろく]}記録{/r}されていく。
ItemInfo_ScenarioKey01	アブリコスが{r[も]}持{/r}っていたカギ。\nおそらく{r[ていこく]}帝国{/r}の{r[じゅうようしせつ]}重要施設{/r}に{r[かか]}関{/r}わる\nものと{r[おも]}思{/r}われる。
ItemInfo_ScenarioKey02	バンブークが{r[も]}持{/r}っていたカギ。\nおそらく{r[ていこく]}帝国{/r}の{r[じゅうようしせつ]}重要施設{/r}に{r[かか]}関{/r}わる\nものと{r[おも]}思{/r}われる。
ItemInfo_ScenarioKey03	ソスナが{r[も]}持{/r}っていたカギ。\nおそらく{r[ていこく]}帝国{/r}の{r[じゅうようしせつ]}重要施設{/r}に{r[かか]}関{/r}わる\nものと{r[おも]}思{/r}われる。
ItemInfo_Stone	{r[うみ]}海{/r}の{r[ちか]}近{/r}くの{r[とち]}土地{/r}でたまに{r[と]}取{/r}れる\n{r[きみょう]}奇妙{/r}な{r[かたち]}形{/r}の{r[いし]}石{/r}。{r[うみ]}海{/r}に{r[かんけい]}関係{/r}する{r[なに]}何{/r}かが\n{r[いし]}石{/r}になったものと{r[い]}言{/r}われている。
ItemInfo_StoneBig	{r[うみ]}海{/r}の{r[ちか]}近{/r}くでまれに{r[み]}見{/r}つかる{r[えんけい]}円形{/r}の\n{r[きみょう]}奇妙{/r}な{r[いし]}石{/r}。レーンドライブギアの{r[ざいりょう]}材料{/r}\nだが、ここまで{r[おお]}大{/r}きい{r[もの]}物{/r}は{r[きしょう]}希少{/r}。
ItemInfo_OhudaPT	スシガミのテンションを{r[あ]}上{/r}げて、\n{r[おおぜい]}大勢{/r}にスシをふるまえるおふだ。\nチビっこハウスで{r[つか]}使{/r}える。
ItemInfo_LimitOverScore	「じゅんびアイテム」として{r[も]}持{/r}って\nおくと、バトルで{r[さいだい]}最大{/r}HPが{r[はんぶん]}半分{/r}になるが\nスコアが1.5{r[ばい]}倍{/r}になる。ずっと{r[つか]}使{/r}える。
ItemInfo_ResearchDoc	{r[ひょうし]}表紙{/r}に{r[おお]}大{/r}きく「{r[じんこう]}人工{/r}スシゲート{r[けいかく]}計画{/r}」と\n{r[か]}書{/r}かれた{r[しりょう]}資料{/r}。{r[かそくき]}加速器{/r}を{r[つか]}使{/r}い{r[にんげん]}人間{/r}の{r[て]}手{/r}で\nスシゲートを{r[ひら]}開{/r}くための{r[ひみつけんきゅう]}秘密研究{/r}らしい。
ItemInfo_ContractDish00	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとスシガミが{r[あらわ]}現{/r}れる…!?\nスシライカーランク２{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish01	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとカズラサツが{r[あらわ]}現{/r}れる!?\nスシライカーランク４{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish02	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとゴレカンが{r[あらわ]}現{/r}れる!?\nスシライカーランク３{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish03	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとクロカンが{r[あらわ]}現{/r}れる!?\nスシライカーランク５{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish04	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとガロオウが{r[あらわ]}現{/r}れる!?\nスシライカーランク７{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish05	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとスシガミが{r[あらわ]}現{/r}れる…!?\nスシライカーランク２{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish06	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとキャッテンが{r[あらわ]}現{/r}れる!?\nスシライカーランク２{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish07	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとオルテンが{r[あらわ]}現{/r}れる…!?\nスシライカーランク７{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish08	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとスイテンが{r[あらわ]}現{/r}れる…!?\nスシライカーランク２{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish09	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとボンテンが{r[あらわ]}現{/r}れる…!?\nスシライカーランク８{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish10	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとバッテンが{r[あらわ]}現{/r}れる…!?\nスシライカーランク６{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish11	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとフェアテンが{r[あらわ]}現{/r}れる!?\nスシライカーランク２{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_ContractDish12	「じゅんびアイテム」として{r[も]}持{/r}ち、\nイイ{r[たたか]}戦{/r}いをするとホウテンが{r[あらわ]}現{/r}れる…!?\nスシライカーランク３{r[だん]}段{/r}から{r[けいやくかのう]}契約可能{/r}。
ItemInfo_CollaboItem01	スシロー{r[じま]}島{/r}エリアのまぐろラッコが{r[きねん]}記念{/r}の\n{r[しな]}品{/r}としてくれたスシネタ。{r[おお]}大{/r}きくて{r[じょうしつ]}上質{/r}。\nムサシが{r[た]}食{/r}べると、うでっぷしが{r[あ]}上{/r}がる。
ItemInfo_CollaboItem02	スシガミに{r[つか]}使{/r}うと、ものすごく{r[けいけんち]}経験値{/r}が\n{r[ふ]}増{/r}えるおふだ。おいしいスシを{r[ていきょう]}提供{/r}する\nための{r[なが]}長{/r}い{r[けいけん]}経験{/r}が{r[ふう]}封{/r}じこめられている。
ItemInfo_CollaboItem03	スシガミに{r[つか]}使{/r}うと、まもりのチカラが\nものすごく{r[ふ]}増{/r}えるおまもり。{r[むかし]}昔{/r}のスシ{r[おけ]}桶{/r}\nでできており、{r[あまず]}甘酸{/r}っぱい{r[かお]}香{/r}りがする。
\database\database_stage.msbt
stageName_stage001	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}１
stageName_stage002	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}２
stageName_stage003	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}３
stageName_stage004	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}４
stageName_stage005	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}５
stageName_stage006	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}６
stageName_stage007	{r[こっきょう]}国境{/r}への{r[みち]}道{/r}７
stageName_stage008	スシ{r[かいほうせんせん]}解放戦線{/r}アジト
stageName_stage009	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}１
stageName_stage010	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}２
stageName_stage011	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}３
stageName_stage012	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}４
stageName_stage013	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}５
stageName_stage014	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}６
stageName_stage015	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}７
stageName_stage016	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}８
stageName_stage017	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}への{r[みち]}道{/r}９
stageName_stage018	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}ゲート{r[まえ]}前{/r}
stageName_stage019	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}ゲート
stageName_stage020	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}１
stageName_stage021	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}２
stageName_stage022	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}３
stageName_stage023	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}４
stageName_stage024	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}５
stageName_stage025	{r[てんぼうのはら]}展望野原{/r}
stageName_stage026	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}６
stageName_stage027	{r[こっきょう]}国境{/r}ゲートへの{r[みち]}道{/r}７
stageName_stage028	{r[こっきょうだい]}国境第{/r}１ゲート{r[まえ]}前{/r}
stageName_stage029	{r[こっきょうだい]}国境第{/r}１ゲート
stageName_stage030	{r[こっきょうだい]}国境第{/r}２ゲート
stageName_stage031	{r[こっきょうさいしゅう]}国境最終{/r}ゲート{r[まえ]}前{/r}
stageName_stage032	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}１
stageName_stage033	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}２
stageName_stage034	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}３
stageName_stage035	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}４
stageName_stage036	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}５
stageName_stage037	ウッドデッキ
stageName_stage038	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}６
stageName_stage039	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}７
stageName_stage040	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}８
stageName_stage041	{r[はまべ]}浜辺{/r}への{r[みち]}道{/r}９
stageName_stage042	{r[はまべ]}浜辺{/r}１
stageName_stage043	{r[はまべ]}浜辺{/r}２
stageName_stage044	{r[はまべ]}浜辺{/r}３
stageName_stage045	{r[かいじょうきちつうろ]}海上基地通路{/r}１
stageName_stage046	{r[かいじょうきちつうろ]}海上基地通路{/r}２
stageName_stage047	{r[かいじょうきちつうろ]}海上基地通路{/r}３
stageName_stage048	{r[かいじょうきちつうろ]}海上基地通路{/r}４
stageName_stage049	{r[かいじょうきちつうろ]}海上基地通路{/r}５
stageName_stage050	{r[かいじょうきちつうろ]}海上基地通路{/r}６
stageName_stage051	{r[しょうぐん　　]}将軍{/r}の{r[　とりでまえ]}砦前{/r}
stageName_stage052	{r[しょうぐん　]}将軍{/r}の{r[　とりで]}砦{/r}
stageName_stage053	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン１
stageName_stage054	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン２
stageName_stage055	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン３
stageName_stage056	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン４
stageName_stage057	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン５
stageName_stage058	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン６
stageName_stage059	{r[こうえき]}交易{/r}の{r[まち]}町{/r}バラン７
stageName_stage060	{r[こくそうちたい]}穀倉地帯{/r}１
stageName_stage061	{r[こくそうちたい]}穀倉地帯{/r}２
stageName_stage062	{r[ようさい]}要塞{/r}ナバ・{r[せいもん]}正門{/r}
stageName_stage063	{r[ようさい]}要塞{/r}ナバ・{r[くるわ]}郭{/r}１
stageName_stage064	{r[ようさい]}要塞{/r}ナバ・{r[くるわ]}郭{/r}２
stageName_stage065	{r[ようさい]}要塞{/r}ナバ・{r[くるわ]}郭{/r}３
stageName_stage066	{r[ようさい]}要塞{/r}ナバ・{r[くるわ]}郭{/r}４
stageName_stage067	{r[ようさい]}要塞{/r}ナバ・{r[うちもん]}内門{/r}
stageName_stage068	{r[ようさい]}要塞{/r}ナバ・{r[とりで]}砦{/r}１
stageName_stage069	{r[ようさい]}要塞{/r}ナバ・{r[とりで]}砦{/r}２
stageName_stage070	{r[ようさい]}要塞{/r}ナバ・{r[とりで]}砦{/r}３
stageName_stage071	{r[ようさい]}要塞{/r}ナバ・{r[とりで]}砦{/r}４
stageName_stage072	{r[ようさい]}要塞{/r}ナバ・はね{r[ばしまえ]}橋前{/r}
stageName_stage073	{r[やえい]}野営{/r}キャンプ
stageName_stage074	{r[ばいてん]}売店{/r}エリア１
stageName_stage075	{r[ばいてん]}売店{/r}エリア２
stageName_stage076	{r[ばいてん]}売店{/r}エリア３
stageName_stage077	{r[ばいてん]}売店{/r}エリア４
stageName_stage078	{r[とざん]}登山{/r}ルート１
stageName_stage079	{r[とざん]}登山{/r}ルート２
stageName_stage080	{r[とざん]}登山{/r}ルート３
stageName_stage081	{r[とざん]}登山{/r}ルート４
stageName_stage082	{r[とざん]}登山{/r}ルート５
stageName_stage083	{r[とざん]}登山{/r}ルート６
stageName_stage084	{r[とざん]}登山{/r}ルート７
stageName_stage085	{r[とざん]}登山{/r}ルート８
stageName_stage086	{r[とざん]}登山{/r}ルート９
stageName_stage087	{r[めいしょ]}名所{/r}・{r[ようがんたき]}溶岩滝{/r}
stageName_stage088	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}１
stageName_stage089	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}２
stageName_stage090	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}３
stageName_stage091	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}４
stageName_stage092	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}５
stageName_stage093	{r[こうざんとりで]}鉱山砦{/r}への{r[みち]}道{/r}６
stageName_stage094	ソスナの{r[こうざんとりで]}鉱山砦{/r}
stageName_stage095	{r[りっかさん]}六花山{/r}・{r[とざんどう]}登山道{/r}１
stageName_stage096	{r[りっかさん]}六花山{/r}・{r[とざんどう]}登山道{/r}２
stageName_stage097	{r[りっかさん]}六花山{/r}・{r[とざんどう]}登山道{/r}３
stageName_stage098	{r[りっかさん]}六花山{/r}・{r[とざんどう]}登山道{/r}４
stageName_stage099	{r[りっかさん]}六花山{/r}・{r[とりで]}砦{/r}
stageName_stage100	{r[りっかさん]}六花山{/r}・{r[げざんどう]}下山道{/r}１
stageName_stage101	{r[りっかさん]}六花山{/r}・{r[げざんどう]}下山道{/r}２
stageName_stage102	{r[りっかさん]}六花山{/r}・{r[げざんどう]}下山道{/r}３
stageName_stage103	{r[りっかさん]}六花山{/r}・{r[ふな]}船{/r}つき{r[ば]}場{/r}
stageName_stage104	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[せいもん]}正門{/r}
stageName_stage105	{r[くんれんとう]}訓練棟{/r}
stageName_stage106	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[つうろ]}通路{/r}１
stageName_stage107	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[つうろ]}通路{/r}２
stageName_stage108	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[つうろ]}通路{/r}３
stageName_stage109	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[つうろ]}通路{/r}４
stageName_stage110	{r[とくべつくんれんとう]}特別訓練棟{/r}
stageName_stage111	{r[さいくんれんしせつ]}再訓練施設{/r}・{r[うらもん]}裏門{/r}
stageName_stage112	{r[ていこくかいどう]}帝国街道{/r}１
stageName_stage113	{r[ていこくかいどう]}帝国街道{/r}２
stageName_stage114	{r[ていこくかいどう]}帝国街道{/r}３
stageName_stage115	{r[ていこくかいどう]}帝国街道{/r}４
stageName_stage116	{r[ていこくかいどう]}帝国街道{/r}５
