\database\database_achieveInfo.msbt
AchieveName_001	Super Striker
MovieName_3C	Kodiak in Disgrace
MovieInfo_3C	Kodiak receives his punishment for losing\nthe Border Gate. Dread General Tiburon\n{c[dc0000]}summons the remaining two Imperial\nGenerals{c[000000]} and warns them of the SLF.
MovieName_EVC4S	Ch. 4: Battle in the Tropics
MovieInfo_EVC4S	The SLF plots their next move: a push\ntoward the trade city of Benteaux in\nthe western Empire, via the {c[dc0000]}seashore{c[000000]}\nunder General Ausprey's control.
MovieName_EVC4S_02	Ch. 4: Clash on the Volcano
MovieInfo_EVC4S_02	The SLF plots their next move: a push\ntoward the trade city of Benteaux in\nthe western Empire, via the {c[dc0000]}volcano{c[000000]}\nunder General Purrsilla's control.
MovieName_4A	General Ausprey Appears!
MovieInfo_4A	The elderly General Ausprey loves\n{c[dc0000]}wasabi {c[000000]}so much he demands it be on all\nsushi in his territory. Won't someone\nthink of the children?!
MovieName_EVC5S	Ch. 5: The Iron Fortress
MovieInfo_EVC5S	The SLF sets up camp west of the\nEmpire and learns that Dread General\nTiburon is at {c[dc0000]}Fort Fugu{c[000000]}. Musashi ignores\nMasa's warning to set out alone...
MovieName_5A	The Legendary Sushido
MovieInfo_5A	Musashi and Dread General Tiburon face\noff at Fort Fugu, but Tiburon stuns\nMusashi twice: first with the special skill\n{c[dc0000]}Sushido{c[000000]}, then with a shocking secret!
MovieName_5B	The SLF's Dark Secret
MovieInfo_5B	Musashi confronts Masa about Tiburon's\nrevelations. Masa shows Musashi the\nSLF's terrible {c[dc0000]}secret{c[000000]}, prompting a\nconfrontation between the two.
MovieName_5C	Jinrai's Awakening
MovieInfo_5C	After ousting Masa, Musashi takes up\ncommand of the SLF, determined to lead\nthe Republic into a new era of respect\nfor sushi. {c[dc0000]}Jinrai{c[000000]}'s reaction is surprising...
MovieName_EVC6S	Ch. 6: Clash on the Volcano
MovieInfo_EVC6S	To lower the drawbridge, Musashi needs\nthree keys held by the three generals.\nThe last remaining key is in the hands of\nGeneral Purrsilla at the {c[dc0000]}volcano{c[000000]}...
MovieName_EVC6S_02	Ch. 6: Battle in the Tropics
MovieInfo_EVC6S_02	To lower the drawbridge, Musashi needs\nthree keys held by the three generals.\nThe last remaining key is in the hands of\nGeneral Ausprey at the {c[dc0000]}seashore{c[000000]}...
MovieName_6A	General Purrsilla Appears!
MovieInfo_6A	The lavish General Purrsilla's loathing for\n{c[dc0000]}salmon and tuna{c[000000]} extends to forbidding it\nfor all citizens of her territory. Can't\nsomeone fight this arbitrary taboo?!
MovieName_EVC7S	Ch. 7: Mountaintop Reunion
MovieInfo_EVC7S	While worrying about how to counter\nTiburon's Sushido, Musashi learns that\n{c[dc0000]}Franklin {c[000000]}is a prisoner at the Imperial\nfacility in the snowy northern mountains.
MovieName_7B	The Retraining Facility
MovieInfo_7B	Musashi infiltrates the Imperial facility to\nfind people undergoing a torturous,\nwasabi-based training. Among them is\na {c[dc0000]}familiar figure{c[000000]}, but...
MovieName_7C	Reunion with Franklin
MovieInfo_7C	Though he is happy to see Musashi come\nso far, Franklin is unable to join the fight\nand entrusts {c[dc0000]}Ara-o{c[000000]} to Musashi. Both \nMusashi and Jinrai receive new power.
MovieName_EVC8S	Ch. 8: Father and Child
MovieInfo_EVC8S	Musashi uses the three keys to lower the\ndrawbridge and enter Imperial territory.\nThough the SLF is eager to help,\nMusashi must battle {c[dc0000]}Tiburon{c[000000]} alone.
MovieName_8A	A Dance of Sushi
MovieInfo_8A	Musashi's rematch with Tiburon is here!\nTiburon's and Musashi's Sushido counter\neach other, and so the contest to see\nwho {c[dc0000]}eats most beautifully{c[000000]} begins.
MovieName_EVC9S	Ch. 9: Sushi Showdown
MovieInfo_EVC9S	Musashi's father, {c[dc0000]}Jubay{c[000000]}, casts aside his\nidentity as Tiburon and rejoins the SLF.\nThe two of them enter the Imperial\nPalace where the final battle awaits...
MovieName_9A	Rio, Man of Many Secrets
MovieInfo_9A	The mystery man Rio, who battled both\nMusashi and Jubay many times in their\nlives, is still {c[dc0000]}an enigma{c[000000]} to the pair. Rio\nseems ready to reveal all, but then...
MovieName_9B	Emperor Octavius
MovieInfo_9B	Jubay urges the Emperor to surrender,\nbut the Emperor instead takes {c[dc0000]}Gourai{c[000000]}\nback and strikes Jubay down. Musashi\narrives on the scene, but is it too late?
MovieName_9C	Unresolved Trauma
MovieInfo_9C	The Emperor is haunted by scars of his\npast, in which he couldn't have a single\nbite of sushi without his father stealing it.\nOctavius sinks into a deeper {c[dc0000]}hatred{c[000000]}...
MovieName_9D	The Emperor's Escape
MovieInfo_9D	Musashi defeats the Emperor and tries to\nshow him a way forward by sharing sushi.\nBut the Emperor rejects Musashi's sushi\nand disappears through the {c[dc0000]}Sushi Gate{c[000000]}...
MovieName_EP	The Sushi Sprites' Secret
MovieInfo_EP	Jinrai explains to Musashi the origin of\nsushi sprites: they were once creatures\nknown as {c[dc0000]}fish{c[000000]}, which swam in the world's\noceans. Unfortunately...
MovieName_ED	Ending Animation
MovieInfo_ED	Ending Song: "{c[dc0000]}World Goes Round{c[000000]}"\nSinger: Musashi (Voice: Rie Takahashi)\nSongwriter: Toshihiko Watanabe\n{c[dc0000]}Note: Credits are shown afterward.{c[000000]}
MovieName_SR	Epilogue
MovieInfo_SR	Musashi and Jubay await the return of\nMusashi's mother at the {c[dc0000]}Great Sushi\nGate{c[000000]}, determined to keep a vigil there\nuntil someday she comes back.
\database\database_movieSerif_0A.msbt
MovieSerifText_0a_0010_M	In a world without fish...
MovieSerifText_0a_0001_M	of all its natural resources, one\nhad value above any other...
MovieSerifText_0a_0002_M	...the dish known as sushi.
MovieSerifText_0a_0003_M	Endless strife broke out among\nthose craving its sublime taste.
MovieSerifText_0a_0004_M	This strife exploded into open\nwar between the Empire,\nwho sought to hoard all\nthe world's sushi...
MovieSerifText_0a_0005_M	and the Republic, who hoped\nto share sushi with all the\nworld's people.
MovieSerifText_0a_0006_M	It became known as the\nbitter Sushi Struggles.
MovieSerifText_0a_0007_M	After the Republic's defeat,\nthe Empire strictly forbade all\ntalk of sushi.
MovieSerifText_0a_0008_M	To eat sushi was an even\ngreater crime.
MovieSerifText_0a_0009_M	That is where our story begins...
\database\database_movieSerif_1A.msbt
MovieSerifText_1a_0001_M	Yeaaaaaaaah!
MovieSerifText_1a_0001_F	Yeaaaaaaaah!
MovieSerifText_1a_0002_M	It's all the fruit I can eat!
MovieSerifText_1a_0002_F	It's all the fruit I can eat!
MovieSerifText_1a_0003_M	Wooohooo!
MovieSerifText_1a_0003_F	Wooohooo!
MovieSerifText_1a_0004_M	Yum yum yum!
MovieSerifText_1a_0004_F	Yum yum yum!
MovieSerifText_1a_0005_M	  
MovieSerifText_1a_0005_F	In my tum!
MovieSerifText_1a_0006_M	What a day! I can hardly carry\nall this.
MovieSerifText_1a_0006_F	What a day! I can hardly carry\nall this.
MovieSerifText_1a_0007_M	All those kids will have full\nbellies for once!
MovieSerifText_1a_0007_F	All those kids will have full\nbellies for once!
MovieSerifText_1a_0008_M	Well, if it isn't the saddest dope\naround.
MovieSerifText_1a_0009_M	Huh?!
MovieSerifText_1a_0009_F	Huh?!
MovieSerifText_1a_0010_M	Ugh, not Kojiro!
MovieSerifText_1a_0010_F	Ugh, not Kojiro!
MovieSerifText_1a_0011_M	Pickin' fruit right off the trees,\nare you?
MovieSerifText_1a_0012_M	Looks that way!
MovieSerifText_1a_0013_M	What a weirdo.
MovieSerifText_1a_0014_M	You actually eat that stuff?
MovieSerifText_1a_0015_M	What's your problem?!\nGet lost!
MovieSerifText_1a_0015_F	What's your problem?!\nGet lost!
MovieSerifText_1a_0016_M	Heh!
MovieSerifText_1a_0017_M	Thanks, sucker!
MovieSerifText_1a_0018_M	Wha—!
MovieSerifText_1a_0018_F	Wha—!
MovieSerifText_1a_0019_M	Hmm, looks good.
MovieSerifText_1a_0097_M	I'll give it a taste test!
MovieSerifText_1a_0020_M	But it's mine!
MovieSerifText_1a_0020_F	But it's mine!
MovieSerifText_1a_0098_M	Mm?
MovieSerifText_1a_0022_M	Ew! Gross gross gross!
MovieSerifText_1a_0099_M	What kinda fruit IS this?!
MovieSerifText_1a_0023_M	(Figures...)
MovieSerifText_1a_0024_M	How can you stand to eat this?!
MovieSerifText_1a_0025_M	Are you kidding?!
MovieSerifText_1a_0025_F	Are you kidding?!
MovieSerifText_1a_0026_M	Sure, it's nasty, but what else is\nthere to eat besides this stuff?!
MovieSerifText_1a_0026_F	Sure, it's nasty, but what else is\nthere to eat besides this stuff?!
MovieSerifText_1a_0027_M	Pathetic.
MovieSerifText_1a_0100_M	You dorks gobble up trash...
MovieSerifText_1a_0101_M	and act like it's delicious candy.
MovieSerifText_1a_0028_M	Ah ha ha ha ha!
MovieSerifText_1a_0029_M	Trash eaters! Trash eaters!
MovieSerifText_1a_0030_M	Kojiro!
MovieSerifText_1a_0030_F	Kojiro!
MovieSerifText_1a_0031_M	Look what you diiiid!
MovieSerifText_1a_0032_M	Waaaaah!
MovieSerifText_1a_0034_M	Mom... Dad...
MovieSerifText_1a_0034_F	Mom... Dad...
MovieSerifText_1a_0035_M	Where did you guys go?
MovieSerifText_1a_0035_F	Where did you guys go?
MovieSerifText_1a_0102_M	And are you ever planning on\ncoming back?
MovieSerifText_1a_0102_F	And are you ever planning on\ncoming back?
MovieSerifText_1a_0036_M	Aw, man! I never got any food.
MovieSerifText_1a_0036_F	Aw, man! I never got any food.
MovieSerifText_1a_0037_M	Heeey! What happened here?
MovieSerifText_1a_0037_F	Heeey! What happened here?
MovieSerifText_1a_0038_M	Huh?
MovieSerifText_1a_0038_F	Huh?
MovieSerifText_1a_0039_M	Why? Who wants to know?
MovieSerifText_1a_0039_F	Why? Who wants to know?
MovieSerifText_1a_0040_M	You can call me Franklin. I'm a\nwanderer on this hungry earth.
MovieSerifText_1a_0041_M	You're clearly in dire straits,\nbut self-pity won't help you.
MovieSerifText_1a_0042_M	Chin up, young man!
MovieSerifText_1a_0042_F	Chin up, young woman!
MovieSerifText_1a_0043_M	Can it! Leave me alone!
MovieSerifText_1a_0043_F	Can it! Leave me alone!
MovieSerifText_1a_0044_M	Ha hah ha. You must have been\npretty hungry.
MovieSerifText_1a_0045_M	Me and everyone else!
MovieSerifText_1a_0045_F	Me and everyone else!
MovieSerifText_1a_0046_M	I don't fault you.
MovieSerifText_1a_0047_M	Growing children do need their\nfood.
MovieSerifText_1a_0048_M	D-Don't treat me like a kid!\nI'm not some brat!
MovieSerifText_1a_0048_F	D-Don't treat me like a kid!\nI'm not some brat!
MovieSerifText_1a_0049_M	Ah! Forgive me.
MovieSerifText_1a_0050_M	Then you can keep secrets\njust like an adult, yes?
MovieSerifText_1a_0051_M	Secrets?
MovieSerifText_1a_0051_F	Secrets?
MovieSerifText_1a_0052_M	If you promise to keep this\nstrictly between the two of us...
MovieSerifText_1a_0053_M	I'll let you dine on sushi!
MovieSerifText_1a_0054_M	Sushi? Really?
MovieSerifText_1a_0055_M	Sushi...
MovieSerifText_1a_0056_M	You have heard of it, I trust.\nThere's no tastier food in\nthe world.
MovieSerifText_1a_0057_M	Though within the Republic's\nborders...
MovieSerifText_1a_0103_M	it's a crime even to look upon\nit, let alone to eat it.
MovieSerifText_1a_0058_M	I'm giving you a chance to try\nsome. Well? It's good.
MovieSerifText_1a_0059_M	I hate sushi!
MovieSerifText_1a_0059_F	I hate sushi!
MovieSerifText_1a_0060_M	I hate sushi so much!
MovieSerifText_1a_0060_F	I hate sushi so much!
MovieSerifText_1a_0061_M	I lost my mom and dad in\nthe war!
MovieSerifText_1a_0061_F	I lost my mom and dad in\nthe war!
MovieSerifText_1a_0062_M	The stupid war they fought all\nbecause of some stupid sushi!
MovieSerifText_1a_0062_F	The stupid war they fought all\nbecause of some stupid sushi!
MovieSerifText_1a_0063_M	Sushi ruined my life!
MovieSerifText_1a_0063_F	Sushi ruined my life!
MovieSerifText_1a_0064_M	I'd rather starve than ever take\na single bite!
MovieSerifText_1a_0064_F	I'd rather starve than ever take\na single bite!
MovieSerifText_1a_0065_M	Ugh...
MovieSerifText_1a_0065_F	Ugh...
MovieSerifText_1a_0066_M	Dang it!
MovieSerifText_1a_0066_F	Dang it!
MovieSerifText_1a_0067_M	You're correct that there has\nbeen terrible violence over\nsushi before.
MovieSerifText_1a_0105_M	But you must know...
MovieSerifText_1a_0068_M	sushi was not to blame for this.
MovieSerifText_1a_0069_M	Sushi isn't just something to\nstuff the belly with.
MovieSerifText_1a_0106_M	It brings real joy to people.
MovieSerifText_1a_0070_M	Young man...\nTry it and you'll see.
MovieSerifText_1a_0070_F	Young woman...\nTry it and you'll see.
MovieSerifText_1a_0110_M	Ta-daaaa!
MovieSerifText_1a_0071_M	Waaaah!
MovieSerifText_1a_0071_F	Waaaah!
MovieSerifText_1a_0072_M	What are you?
MovieSerifText_1a_0072_F	What are you?
MovieSerifText_1a_0073_M	Good question!
MovieSerifText_1a_0073_F	Good question!
MovieSerifText_1a_0074_M	I'm Ara-o, one of the great\nsushi sprites who controls\nthe world's sushi.
MovieSerifText_1a_0075_M	A sushi sprout?
MovieSerifText_1a_0075_F	A sushi sprout?
MovieSerifText_1a_0076_M	No, not a sprout! A sushi sprite!
MovieSerifText_1a_0077_M	A cutie pie?
MovieSerifText_1a_0077_F	A cutie pie?
MovieSerifText_1a_0078_M	I said SUSHI SPRITE!
MovieSerifText_1a_0079_M	Franklin, are you sure about\nthis?
MovieSerifText_1a_0080_M	Humor me.
MovieSerifText_1a_0081_M	Eh, OK... I'll do it.
MovieSerifText_1a_0082_M	Ta-daaaaa!
MovieSerifText_1a_0083_M	What is this thing?!\nIt came out of nowhere!
MovieSerifText_1a_0083_F	What is this thing?!\nIt came out of nowhere!
MovieSerifText_1a_0084_M	That's sushi. Go on, try it.
MovieSerifText_1a_0086_M	Mm?
MovieSerifText_1a_0087_M	Mmm?
MovieSerifText_1a_0088_M	Aaaah!
MovieSerifText_1a_0089_M	This is AMAZING!
MovieSerifText_1a_0089_F	This is AMAZING!
MovieSerifText_1a_0090_M	This is sushi?
MovieSerifText_1a_0090_F	This is sushi?
MovieSerifText_1a_0091_M	THIS is sushi?!
MovieSerifText_1a_0091_F	THIS is sushi?!
MovieSerifText_1a_0092_M	It's so... It's so...
MovieSerifText_1a_0092_F	It's so... It's so...
MovieSerifText_1a_0093_M	IT'S THE BEST FOOD EVER!
MovieSerifText_1a_0093_F	IT'S THE BEST FOOD EVER!
MovieSerifText_1a_0094_M	Ah...ah ha ha ha...
MovieSerifText_1a_0094_F	Ah...ah ha ha ha...
MovieSerifText_1a_0095_M	Hahaha... Are those tears\nof joy?
MovieSerifText_1a_0096_M	Well! Don't stop—keep eating!
\database\database_movieSerif_1B.msbt
MovieSerifText_1b_0001_M	You...jerks...
MovieSerifText_1b_0001_F	You...jerks...
MovieSerifText_1b_0002_M	I gotta hand it to you. I didn't\nthink you had the guts to come\nafter us.
MovieSerifText_1b_0003_M	Yo! We'll take this kid, too.
MovieSerifText_1b_0004_M	No, don't! Let the boy go.
MovieSerifText_1b_0004_F	No, don't! Let the girl go.
MovieSerifText_1b_0005_M	I just met him today. He has\nnothing to do with any of this!
MovieSerifText_1b_0005_F	I just met her today. She has\nnothing to do with any of this!
MovieSerifText_1b_0006_M	Yeah...
MovieSerifText_1b_0007_M	Now that we have both you and\nthe sushi sprite in our mitts,\nwe're done here.
MovieSerifText_1b_0008_M	You're on a one-way trip to\nthe Empire.
MovieSerifText_1b_0009_M	You'll be gone a long time,\nlightweight.
MovieSerifText_1b_0010_M	Hope you packed your\nunderwear!
MovieSerifText_1b_0011_M	Uh?
MovieSerifText_1b_0011_F	Uh?
MovieSerifText_1b_0012_M	Franklin!
MovieSerifText_1b_0012_F	Franklin!
MovieSerifText_1b_0013_M	No! Did the Imperial Army get him?!
MovieSerifText_1b_0013_F	No! Did the Imperial Army get him?!
MovieSerifText_1b_0014_M	I've gotta go help him!
MovieSerifText_1b_0014_F	I've gotta go help him!
MovieSerifText_1b_0015_M	But... How?
MovieSerifText_1b_0015_F	But... How?
MovieSerifText_1b_0016_M	And, uh...
MovieSerifText_1b_0016_F	And, uh...
MovieSerifText_1b_0017_M	What is this?
MovieSerifText_1b_0017_F	What is this?
MovieSerifText_1b_0018_M	And why did Franklin give it\nto me?
MovieSerifText_1b_0018_F	Why did Franklin give it to me?
MovieSerifText_1b_0019_M	Augh... The more I think\nabout it, the hungrier I get.
MovieSerifText_1b_0019_F	Augh... The more I think\nabout it, the hungrier I get.
MovieSerifText_1b_0020_M	Hah hah hah...
MovieSerifText_1b_0021_M	That thunderous rumble could\nonly be born of a truly heroic\ncraving.
MovieSerifText_1b_0022_M	Huh?
MovieSerifText_1b_0022_F	Huh?
MovieSerifText_1b_0023_M	Who said that?!
MovieSerifText_1b_0023_F	Who said that?!
MovieSerifText_1b_0024_M	Do you hunger for power?
MovieSerifText_1b_0025_M	Power? Really?
MovieSerifText_1b_0025_F	Power? Really?
MovieSerifText_1b_0026_M	Heck yeah!
MovieSerifText_1b_0026_F	Heck yeah!
MovieSerifText_1b_0027_M	Do it! Power me uuuuuup!
MovieSerifText_1b_0027_F	Do it! Power me uuuuuup!
MovieSerifText_1b_0028_M	Then follow my voice.
MovieSerifText_1b_0029_M	It will lead you to the shrine\nthat contains a nourishing\nstrength.
MovieSerifText_1b_0030_M	Cool...
MovieSerifText_1b_0030_F	Cool...
MovieSerifText_1b_0031_M	Which way from here?
MovieSerifText_1b_0031_F	Which way from here?
MovieSerifText_1b_0032_M	This way...
MovieSerifText_1b_0033_M	Cool!
MovieSerifText_1b_0033_F	Cool!
MovieSerifText_1b_0034_M	Whoaaa! What is this?!
MovieSerifText_1b_0034_F	Whoaaa! What is this?!
MovieSerifText_1b_0035_M	It's so uncool...
MovieSerifText_1b_0035_F	It's so uncool...
MovieSerifText_1b_0036_M	Gah!
MovieSerifText_1b_0036_F	Gah!
MovieSerifText_1b_0037_M	Is... Is this...sushi?
MovieSerifText_1b_0037_F	Is... Is this...sushi?
MovieSerifText_1b_0038_M	Not just any sushi—it's salmon.
MovieSerifText_1b_0039_M	What are you waiting for?\nSate that powerful hunger!
MovieSerifText_1b_0077_M	Right!
MovieSerifText_1b_0077_F	Right!
MovieSerifText_1b_0040_M	Bon app\xe9tit!
MovieSerifText_1b_0041_M	*munch*
MovieSerifText_1b_0041_F	*munch*
MovieSerifText_1b_0042_M	*chomp* *slarf*\n*gulp*
MovieSerifText_1b_0042_F	*chomp* *slarf*\n*gulp*
MovieSerifText_1b_0043_M	Oh...
MovieSerifText_1b_0043_F	Oh...
MovieSerifText_1b_0044_M	Ohhh...
MovieSerifText_1b_0044_F	Ohhh...
MovieSerifText_1b_0045_M	Ohhh...ohhhhh...
MovieSerifText_1b_0045_F	Ohhh...ohhhhh...
MovieSerifText_1b_0046_M	So gooooooood!
MovieSerifText_1b_0046_F	So gooooooood!
MovieSerifText_1b_0047_M	Buh?
MovieSerifText_1b_0047_F	Buh?
MovieSerifText_1b_0048_M	I trust your hunger has abated.
MovieSerifText_1b_0049_M	It's no doubt thanks to you that\nI feel my powers returning.
MovieSerifText_1b_0050_M	What a magnificent appreciation\nfor sushi you showed!
MovieSerifText_1b_0051_M	Aaaaah!
MovieSerifText_1b_0051_F	Aaaaah!
MovieSerifText_1b_0052_M	Are you...
MovieSerifText_1b_0052_F	Are you...
MovieSerifText_1b_0053_M	A cat?
MovieSerifText_1b_0053_F	A cat?
MovieSerifText_1b_0054_M	Urk...
MovieSerifText_1b_0055_M	I'm no cat.
MovieSerifText_1b_0080_M	My name is Jinrai.
MovieSerifText_1b_0056_M	I'm an escaped sushi sprite.\nI've been in hiding from the\nEmpire here for some time.
MovieSerifText_1b_0057_M	Huh?
MovieSerifText_1b_0057_F	Huh?
MovieSerifText_1b_0058_M	Uh... What's this?
MovieSerifText_1b_0058_F	Uh... What's this?
MovieSerifText_1b_0059_M	That is a pledge plate.\nIt means a sushi sprite\nhas accepted you.
MovieSerifText_1b_0060_M	The moment you ate that sushi,\nyou formed a pledge with me.
MovieSerifText_1b_0061_M	With that, you became\na sushi striker!
MovieSerifText_1b_0062_M	I'm a...sushi striker?
MovieSerifText_1b_0062_F	I'm a...sushi striker?
MovieSerifText_1b_0063_M	That is no ordinary jacket\nyou wear.
MovieSerifText_1b_0064_M	I'll have you know it can contain\nand store the spirits of we\nsushi sprites.
MovieSerifText_1b_0065_M	I knew it was cool, but I didn't\nknow it was that cool.
MovieSerifText_1b_0065_F	I knew it was cool, but I didn't\nknow it was that cool.
MovieSerifText_1b_0066_M	I have my work cut out for me...
MovieSerifText_1b_0068_M	I'm ready, Jinrai!\nMake me a sushi striker!
MovieSerifText_1b_0068_F	I'm ready, Jinrai!\nMake me a sushi striker!
MovieSerifText_1b_0069_M	I gotta repay Franklin for\nshowing me how incredible\nsushi really is!
MovieSerifText_1b_0069_F	I gotta repay Franklin for\nshowing me how incredible\nsushi really is!
MovieSerifText_1b_0070_M	And then...
MovieSerifText_1b_0070_F	And then...
MovieSerifText_1b_0071_M	I'm gonna share the awesome\ntaste of sushi with everyone in\nthe world!
MovieSerifText_1b_0071_F	I'm gonna share the awesome\ntaste of sushi with everyone in\nthe world!
MovieSerifText_1b_0072_M	Sushi for everyone in the\nworld...
MovieSerifText_1b_0073_M	That is a noble dream!
MovieSerifText_1b_0074_M	I will grant you my power!
MovieSerifText_1b_0075_M	Let us go save this Franklin!
MovieSerifText_1b_0076_M	Yeaaaah!
MovieSerifText_1b_0076_F	Yeaaaah!
\database\database_movieSerif_2A.msbt
MovieSerifText_2a_0001_M	Jinrai had been spotted.
MovieSerifText_2a_0018_M	Moreover, he had thrown his lot\nin with the Republic.
MovieSerifText_2a_0002_M	The reports made their way to\nthe Imperial Palace in no time\nat all.
MovieSerifText_2a_0003_M	In order to catch Jinrai...
MovieSerifText_2a_0004_M	Emperor Octavius commanded\nGeneral Tiburon to lead an all-\nout assault.
MovieSerifText_2a_0005_M	Thus did the Sushi Struggles\nreturn to the world.
MovieSerifText_2a_0006_M	It seems you have failed us,\nKodiak.
MovieSerifText_2a_0007_M	Jinrai slipped through your\nfingers.
MovieSerifText_2a_0008_M	I...I messed up.
MovieSerifText_2a_0009_M	You gotta let me take another\nrun at it!
MovieSerifText_2a_0010_M	Tell me... Who does Jinrai serve\nas his master?
MovieSerifText_2a_0011_M	Uh...
MovieSerifText_2a_0012_M	It was just some kid.
MovieSerifText_2a_0013_M	Hmm. A kid?
MovieSerifText_2a_0014_M	What was his name...
MovieSerifText_2a_0014_F	What was her name...
MovieSerifText_2a_0015_M	Musashi or something.
MovieSerifText_2a_0015_F	Musashi or something.
MovieSerifText_2a_0016_M	Ah.
MovieSerifText_2a_0016_F	Ah.
MovieSerifText_2a_0017_M	Musashi...
MovieSerifText_2a_0017_F	Musashi...
\database\database_movieSerif_2B.msbt
MovieSerifText_2b_0001_M	You guys are SWEET!
MovieSerifText_2b_0002_M	Thanks to Musashi, we got the\nforest fixed up nice and tight\nlike it used ta be!
MovieSerifText_2b_0004_M	Heheh...
MovieSerifText_2b_0004_F	Heheh...
MovieSerifText_2b_0005_M	Lemme hit you with one more\nfavor.
MovieSerifText_2b_0006_M	It'll be big! I wanna open the\nbest sushi restaurant ever!
MovieSerifText_2b_0009_M	Beg your pardon?
MovieSerifText_2b_0010_M	The Empire's got their grubby\npaws on all sushi.
MovieSerifText_2b_0011_M	Seein' folks go without gets me\nright in the gut!
MovieSerifText_2b_0012_M	So I thought I'd build a place\nthey could get the good stuff,\nand cheap, too!
MovieSerifText_2b_0014_M	Are you as bewildered by all\nthis as I am?
MovieSerifText_2b_0017_M	See...
MovieSerifText_2b_0018_M	This sushi flows around and\naround. Like a merry-go-round!
MovieSerifText_2b_0020_M	The sushi...
MovieSerifText_2b_0020_F	The sushi...
MovieSerifText_2b_0021_M	flows around...
MovieSerifText_2b_0021_F	flows around...
MovieSerifText_2b_0022_M	and around?
MovieSerifText_2b_0022_F	and around?
MovieSerifText_2b_0023_M	I just can't picture it.
MovieSerifText_2b_0024_M	Hey, that's OK!
MovieSerifText_2b_0025_M	It's never been done before!\nBut when I'm through, it'll be\nsushi heaven!
MovieSerifText_2b_0027_M	Dream big, sez I!
MovieSerifText_2b_0028_M	Ho ho ho ho ho...
MovieSerifText_2b_0029_M	Wh-whoa! Kyatten's here!
MovieSerifText_2b_0030_M	Flowing sushi is an interesting\nidea...
MovieSerifText_2b_0031_M	Let wise old Kyatten...\nmake it happen.
MovieSerifText_2b_0033_M	Whoa, check it out!
MovieSerifText_2b_0034_M	Thanks a million, good buddy!
MovieSerifText_2b_0035_M	Woooooow!
\database\database_movieSerif_3A.msbt
MovieSerifText_3a_0001_M	Huh?
MovieSerifText_3a_0001_F	Huh?
MovieSerifText_3a_0002_M	Do you see that?
MovieSerifText_3a_0002_F	Do you see that?
MovieSerifText_3a_0003_M	Hmm?
MovieSerifText_3a_0004_M	Someone's trying to hide.
MovieSerifText_3a_0005_M	Hey! Whatcha doing?
MovieSerifText_3a_0005_F	Hey! Whatcha doing?
MovieSerifText_3a_0006_M	Eh?
MovieSerifText_3a_0007_M	Oh, I, uh...
MovieSerifText_3a_0008_M	I'm watching for someone.
MovieSerifText_3a_0009_M	Got it.
MovieSerifText_3a_0009_F	Got it.
MovieSerifText_3a_0010_M	And you're not bored out here\nby yourself?
MovieSerifText_3a_0010_F	And you're not bored out here\nby yourself?
MovieSerifText_3a_0023_M	Do you need any help?
MovieSerifText_3a_0023_F	Do you need any help?
MovieSerifText_3a_0011_M	Huh? Oh... No.
MovieSerifText_3a_0012_M	I'm OK.
MovieSerifText_3a_0013_M	I just found him.
MovieSerifText_3a_0013_F	I just found her.
MovieSerifText_3a_0014_M	What?
MovieSerifText_3a_0014_F	What?
MovieSerifText_3a_0015_M	Hey—\nYou're a—you're a sushi striker?
MovieSerifText_3a_0015_F	Hey—\nYou're a—you're a sushi striker?
MovieSerifText_3a_0017_M	Right. I'm the sushi striker\nCelia!
MovieSerifText_3a_0018_M	I'm on a mission from the\nEmpire to take you out.
MovieSerifText_3a_0019_M	What the?!
MovieSerifText_3a_0020_M	For real?
MovieSerifText_3a_0020_F	For real?
MovieSerifText_3a_0021_M	You're...with the Empire?\nBut you're just a kid.
MovieSerifText_3a_0021_F	You're...with the Empire?\nBut you're just a kid.
MovieSerifText_3a_0022_M	I don't have time to be a kid.
MovieSerifText_3a_0024_M	Now...let's get to business!
\database\database_movieSerif_3B.msbt
MovieSerifText_3b_0001_M	I admit it... You're strong...
MovieSerifText_3b_0002_M	That doesn't matter!
MovieSerifText_3b_0002_F	That doesn't matter!
MovieSerifText_3b_0003_M	The power of sushi and the joy\nit brings...
MovieSerifText_3b_0003_F	The power of sushi and the joy\nit brings...
MovieSerifText_3b_0004_M	That's what got me here...\nnot my strength.
MovieSerifText_3b_0004_F	That's what got me here...\nnot my strength.
MovieSerifText_3b_0005_M	Celia...
MovieSerifText_3b_0006_M	I can see that you've been in\na very dark place.
MovieSerifText_3b_0007_M	But it is disrespectful to sushi to\neat with a cloud on your brow.
MovieSerifText_3b_0008_M	He's right!
MovieSerifText_3b_0008_F	He's right!
MovieSerifText_3b_0009_M	Sushi should put a smile on\nyour face!
MovieSerifText_3b_0009_F	Sushi should put a smile on\nyour face!
MovieSerifText_3b_0010_M	It should?
MovieSerifText_3b_0011_M	I've never...heard anyone put\nit like that.
MovieSerifText_3b_0012_M	The brass only ever told me\nto eat faster or to eat more...
MovieSerifText_3b_0021_M	They saw me as nothing but a\nsushi striker.
MovieSerifText_3b_0013_M	Although... Maybe I'm—
MovieSerifText_3b_0014_M	A sushi-loving friend of mine,\nright?
MovieSerifText_3b_0014_F	A sushi-loving friend of mine,\nright?
